Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
28297,-0.03,0.00,-1.04,28.11,2.41,0.74,0.08
28401,-0.03,-0.00,-1.04,28.06,2.32,0.48,0.10
28506,-0.02,-0.01,-1.04,28.11,2.17,0.87,0.16
28610,-0.03,-0.00,-1.04,28.06,2.31,0.84,0.04
28715,-0.02,-0.00,-1.04,28.11,2.37,0.64,0.12
28820,-0.03,-0.00,-1.04,28.06,2.11,0.68,0.01
28924,-0.02,-0.00,-1.03,28.06,2.16,0.69,0.10
29029,-0.02,-0.00,-1.05,28.11,2.20,0.79,0.12
29133,-0.05,0.02,-1.04,28.06,2.27,1.05,0.14
29238,-0.03,-0.00,-1.05,28.11,2.37,0.98,0.02
29342,-0.03,-0.01,-1.05,28.06,2.19,0.72,-0.02
29447,-0.03,-0.01,-1.05,28.11,2.26,0.83,0.08
29551,-0.02,-0.00,-1.04,28.15,2.26,0.60,0.04
29656,-0.02,-0.00,-1.04,28.11,2.13,0.83,0.20
29761,-0.01,-0.00,-1.04,28.15,2.27,0.75,0.22
29865,-0.03,-0.02,-1.04,28.11,2.41,0.73,0.04
29970,-0.02,-0.00,-1.04,28.06,2.31,0.76,0.16
30074,-0.03,-0.00,-1.04,28.20,2.08,0.60,0.16
30179,-0.03,0.00,-1.04,28.15,2.40,0.75,-0.03
30283,-0.02,-0.00,-1.04,28.01,2.46,0.66,0.19
30388,-0.03,-0.00,-1.04,28.11,2.44,0.54,0.12
30492,-0.03,-0.00,-1.05,28.11,2.20,0.84,0.09
30597,-0.02,-0.00,-1.04,28.11,2.35,0.95,0.02
30702,-0.03,-0.01,-1.04,28.15,2.35,0.62,0.01
30807,-0.02,-0.00,-1.04,28.11,2.18,0.65,0.09
30911,-0.03,-0.01,-1.04,28.06,2.47,0.68,-0.05
31015,-0.03,-0.01,-1.04,28.11,2.24,0.73,0.30
31120,-0.02,-0.00,-1.05,28.15,2.19,0.60,0.14
31224,-0.03,-0.01,-1.04,28.11,2.47,0.73,-0.05
31329,-0.03,-0.00,-1.05,28.06,2.35,0.68,0.08
31433,-0.02,-0.01,-1.05,28.11,2.33,0.66,0.05
31538,-0.03,0.00,-1.04,28.15,2.24,0.63,0.11
31643,-0.03,-0.01,-1.04,28.11,2.24,0.66,0.00
31748,-0.03,-0.01,-1.05,28.15,2.37,0.59,0.20
31852,-0.02,-0.00,-1.04,28.11,2.55,0.67,0.08
31956,-0.03,0.00,-1.04,28.15,2.34,0.82,0.13
32061,-0.03,0.00,-1.04,28.06,2.15,0.79,0.01
32165,-0.03,-0.01,-1.04,28.20,2.39,0.73,-0.02
32270,-0.03,-0.01,-1.04,28.15,2.11,0.89,0.04
32374,-0.03,-0.01,-1.04,28.11,2.21,0.69,0.22
32479,-0.03,-0.00,-1.04,28.15,2.25,0.74,0.11
32584,-0.03,0.00,-1.05,28.11,2.44,0.72,-0.02
32689,-0.02,-0.01,-1.05,28.11,2.16,0.71,0.18
32793,-0.03,-0.01,-1.04,28.11,2.31,0.69,0.07
32898,-0.03,-0.01,-1.04,28.11,2.32,0.85,0.21
33002,-0.03,-0.00,-1.05,28.11,2.26,0.72,0.13
33106,-0.03,-0.00,-1.05,28.15,2.29,0.56,0.17
33211,-0.03,-0.00,-1.04,28.11,2.47,0.65,0.15
33315,-0.03,-0.01,-1.04,28.15,2.32,0.68,0.04
33421,-0.03,-0.00,-1.04,28.11,2.24,0.82,0.19
33525,-0.03,-0.00,-1.03,28.11,2.22,0.76,0.16
33630,-0.02,-0.00,-1.04,28.15,2.31,0.74,0.08
33734,-0.02,-0.01,-1.04,28.11,2.39,0.75,0.02
33839,-0.02,-0.00,-1.04,28.06,2.37,0.63,0.12
33943,-0.03,-0.01,-1.05,28.11,2.34,0.66,0.07
34048,-0.03,-0.00,-1.03,28.15,2.27,0.76,0.00
34152,-0.03,-0.01,-1.04,28.01,2.36,0.68,0.17
34256,-0.03,-0.01,-1.05,28.20,2.35,0.76,0.14
34362,-0.03,-0.01,-1.05,28.11,2.24,0.81,0.16
34466,-0.03,0.01,-1.04,28.15,2.34,0.74,0.18
34571,-0.02,-0.01,-1.04,28.11,2.34,0.62,0.18
34675,-0.02,-0.01,-1.04,28.25,2.33,0.86,0.20
34780,-0.03,-0.00,-1.04,28.11,2.60,0.80,0.05
34884,-0.03,-0.01,-1.04,28.15,2.22,0.63,0.19
34989,-0.03,-0.00,-1.04,28.11,2.23,0.65,0.21
35093,-0.02,-0.01,-1.04,28.06,2.40,0.82,-0.03
35197,-0.02,-0.00,-1.05,28.11,2.44,0.63,-0.02
35303,-0.02,-0.00,-1.05,28.15,2.24,0.73,0.15
35407,-0.02,-0.00,-1.04,28.11,2.31,0.84,-0.02
35512,-0.02,-0.00,-1.05,28.20,2.31,0.73,0.16
35616,-0.03,0.00,-1.05,28.11,2.38,0.73,0.08
35721,-0.03,-0.01,-1.04,28.06,2.24,0.78,0.07
35825,-0.03,-0.00,-1.05,28.11,2.45,0.88,0.30
35930,-0.03,-0.01,-1.04,28.15,2.29,0.78,0.03
36034,-0.02,-0.00,-1.05,28.11,2.27,0.73,0.04
36139,-0.03,-0.00,-1.05,28.06,2.28,0.84,0.06
36244,-0.03,-0.01,-1.05,28.11,2.42,0.84,0.02
36348,-0.03,-0.00,-1.05,28.15,2.32,1.00,0.18
36453,-0.03,0.00,-1.04,28.20,2.45,0.63,0.15
36557,-0.03,-0.00,-1.04,28.15,2.31,0.93,0.00
36662,-0.02,-0.01,-1.05,28.01,2.42,0.73,0.18
36766,-0.03,-0.00,-1.04,28.15,2.36,0.76,0.02
36871,-0.03,-0.01,-1.04,28.11,2.41,0.76,0.02
36975,-0.02,-0.00,-1.05,28.11,2.31,0.83,0.15
37080,-0.03,-0.00,-1.03,28.15,2.38,0.76,0.08
37185,-0.02,-0.01,-1.04,28.11,2.34,0.61,-0.13
37289,-0.03,-0.00,-1.03,28.15,2.42,0.73,0.07
