Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
19403,0.04,1.01,0.00,30.32,2.24,0.84,0.16
19508,0.03,1.00,-0.00,30.37,2.36,0.95,0.09
19612,0.04,1.00,0.00,30.32,2.10,0.73,0.19
19717,0.00,1.00,0.00,30.37,2.31,0.67,-0.05
19822,-0.00,0.99,-0.00,30.27,2.23,0.77,-0.15
19927,0.04,1.01,0.01,30.32,2.44,0.81,-0.08
20031,0.02,0.99,-0.00,30.37,2.47,0.69,-0.05
20135,-0.00,1.00,0.00,30.32,2.33,0.61,-0.05
20240,0.01,1.00,0.01,30.32,2.21,0.69,0.08
20344,-0.00,1.00,0.00,30.27,2.21,0.69,0.28
20449,0.04,1.00,0.01,30.32,2.24,0.75,0.04
20553,-0.00,0.99,0.01,30.41,2.34,0.75,0.03
20658,0.04,1.01,-0.00,30.37,2.39,0.81,-0.05
20762,0.03,1.00,0.00,30.37,2.47,0.61,-0.01
20868,-0.00,1.00,-0.00,30.27,2.22,0.90,0.08
20972,-0.01,0.99,-0.01,30.37,1.92,0.67,0.31
21076,0.01,0.98,0.00,30.32,2.15,0.83,0.02
21181,0.03,1.00,-0.00,30.22,2.11,0.80,0.07
21285,0.04,1.00,-0.00,30.37,2.55,0.81,0.11
21390,0.05,1.02,0.01,30.32,2.37,0.65,0.01
21494,0.01,1.00,0.01,30.22,2.05,0.76,0.21
21599,0.00,0.99,0.01,30.37,2.01,0.59,0.16
21703,0.00,0.99,-0.00,30.37,2.27,0.50,-0.03
21808,0.00,0.99,0.01,30.22,2.21,0.69,0.09
21912,0.01,0.99,-0.00,30.32,2.28,0.81,0.09
22018,0.04,1.00,0.01,30.27,2.15,0.73,0.10
22122,0.03,1.00,-0.00,30.37,2.27,0.74,0.13
22226,0.05,1.01,0.01,30.22,2.31,0.67,0.19
22331,-0.01,0.99,0.01,30.37,2.34,0.75,0.15
22435,0.04,1.00,0.00,30.32,2.35,0.85,0.13
22540,0.02,1.00,0.01,30.22,2.27,0.68,-0.15
22644,0.01,1.00,0.01,30.27,2.42,0.60,0.12
22749,-0.01,1.00,-0.00,30.27,2.25,0.73,0.08
22853,0.00,0.99,-0.01,30.32,2.53,0.79,0.07
22958,-0.01,0.99,0.00,30.37,2.23,0.79,0.01
23063,0.04,1.00,0.01,30.32,2.31,0.71,-0.09
23168,0.01,0.99,-0.00,30.37,2.03,0.66,0.07
23272,0.03,1.01,0.01,30.27,2.18,0.88,0.13
23376,0.04,1.01,-0.01,30.32,2.15,0.79,0.21
23481,0.00,0.99,0.00,30.37,2.31,0.85,-0.15
23585,0.04,1.01,-0.00,30.27,2.52,0.83,-0.05
23690,-0.00,0.99,0.01,30.32,2.32,0.68,-0.02
23794,0.00,0.99,0.00,30.27,2.43,0.92,0.04
23899,0.03,1.00,0.00,30.37,2.30,0.60,0.08
24003,0.01,1.00,-0.01,30.37,2.26,0.78,0.04
24109,-0.01,0.99,0.00,30.41,2.12,0.76,0.18
24213,0.00,1.00,0.00,30.41,2.33,0.54,0.20
24317,0.02,1.00,0.00,30.37,2.34,0.69,0.05
24422,0.02,1.00,0.00,30.27,2.56,0.79,0.18
24526,-0.01,1.00,-0.00,30.32,2.30,0.80,0.21
24631,0.02,0.99,0.01,30.32,2.00,0.76,0.15
24735,-0.00,0.99,-0.01,30.27,2.24,0.72,-0.01
24840,0.05,1.00,-0.00,30.27,2.36,0.79,0.19
24944,0.01,1.00,0.01,30.22,2.40,0.70,0.07
25049,0.04,1.01,0.00,30.27,2.34,0.71,0.20
25153,-0.00,0.99,0.01,30.37,2.37,0.74,0.14
25259,0.04,1.01,-0.00,30.32,2.40,0.71,0.08
25363,0.04,1.01,-0.00,30.27,2.31,0.74,-0.02
25467,0.03,1.00,0.01,30.46,2.43,0.64,-0.06
25572,0.03,1.01,0.00,30.32,2.20,0.59,0.19
25676,-0.01,0.98,-0.01,30.37,2.41,0.79,-0.03
25781,0.04,1.01,0.00,30.22,2.43,0.69,0.02
25885,0.00,0.99,0.01,30.32,2.36,0.80,0.10
25990,-0.00,0.99,0.00,30.37,2.37,0.79,0.07
26094,0.04,1.00,0.01,30.27,2.24,0.69,0.09
26199,-0.01,0.99,0.00,30.27,2.04,0.73,0.04
26304,0.01,1.00,0.00,30.32,2.43,0.82,0.15
26408,0.04,1.01,-0.00,30.37,2.30,0.92,0.03
26513,0.04,1.00,0.00,30.27,2.19,0.62,0.07
26617,0.03,1.01,0.00,30.32,2.49,0.71,0.01
26722,0.03,1.00,0.01,30.22,2.23,0.68,0.09
