Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
26618,1.01,0.00,-0.02,29.42,2.38,0.73,0.20
26724,1.01,0.00,-0.01,29.42,2.15,0.73,0.01
26828,1.02,-0.00,-0.01,29.42,2.18,0.63,-0.09
26933,1.01,-0.00,-0.01,29.38,2.31,0.58,0.11
27037,1.02,0.00,-0.01,29.38,2.29,0.77,0.12
27142,1.02,0.01,-0.01,29.28,2.37,0.71,0.09
27246,1.03,0.01,-0.02,29.38,2.24,0.81,0.12
27351,1.02,0.00,-0.01,29.42,2.19,0.66,0.18
27455,1.01,0.00,-0.02,29.33,2.30,0.80,0.07
27559,1.03,0.00,-0.01,29.42,2.11,0.68,0.06
27665,1.01,0.00,-0.02,29.28,2.46,0.70,0.06
27769,1.03,0.01,-0.02,29.38,2.31,0.71,0.08
27874,1.02,0.00,-0.02,29.42,2.37,0.71,-0.02
27978,1.03,0.01,-0.01,29.33,2.42,0.82,0.11
28083,1.03,0.01,-0.01,29.42,2.33,0.75,0.20
28187,1.01,-0.01,-0.02,29.38,2.24,0.64,0.11
28292,1.01,0.00,-0.01,29.47,2.23,0.70,0.10
28396,1.02,0.00,-0.02,29.38,2.22,0.85,0.04
28500,1.02,0.00,-0.02,29.42,2.18,0.79,0.15
28605,1.02,0.01,-0.01,29.24,2.34,0.63,0.15
28710,1.02,-0.00,-0.01,29.33,2.34,0.89,0.02
28815,1.02,0.01,-0.01,29.38,2.33,0.76,0.19
28919,1.01,0.01,-0.01,29.38,2.34,0.82,0.01
29024,1.01,0.01,-0.01,29.42,2.44,0.72,0.19
29128,1.03,0.01,-0.01,29.42,2.33,0.70,0.01
29233,1.02,0.00,-0.02,29.42,2.26,0.69,0.13
29337,1.04,0.01,-0.01,29.42,2.27,0.66,0.12
29442,1.02,0.00,-0.02,29.33,2.34,0.64,0.15
29546,1.02,0.00,-0.02,29.47,2.41,0.55,0.05
29650,1.02,0.01,-0.01,29.28,2.31,0.75,0.10
29756,1.03,0.00,-0.01,29.47,2.42,0.58,0.21
29860,1.02,0.01,-0.01,29.42,2.05,0.63,0.11
29965,1.02,0.00,-0.01,29.42,2.31,0.73,-0.03
30069,1.02,0.01,-0.01,29.33,2.35,0.62,0.04
30174,1.02,0.01,-0.02,29.42,2.33,0.68,0.03
30278,1.01,-0.01,-0.01,29.38,2.20,0.53,-0.07
30383,1.02,0.01,-0.01,29.47,2.32,0.68,0.18
30487,1.02,-0.00,-0.01,29.38,2.25,0.84,0.21
30592,1.01,0.01,-0.02,29.42,2.17,0.78,0.14
30697,1.03,0.00,-0.01,29.38,2.31,0.76,0.05
30801,1.03,0.00,-0.01,29.33,2.08,0.58,-0.02
30906,1.03,0.01,-0.01,29.42,2.41,0.66,0.15
31010,1.00,-0.01,-0.01,29.42,2.36,0.66,0.09
31115,1.02,0.00,-0.02,29.28,2.27,0.75,0.12
31219,1.00,-0.00,-0.01,29.47,2.39,1.32,0.44
31324,1.04,0.00,-0.01,29.38,2.27,0.80,0.11
31428,1.02,0.01,-0.02,29.28,2.42,0.59,0.06
31533,1.04,0.01,-0.02,29.33,2.26,0.79,-0.02
31638,1.05,0.02,-0.01,29.33,2.21,0.60,0.13
31742,1.01,-0.01,-0.01,29.33,2.27,0.98,-0.01
31847,1.01,0.01,-0.00,29.33,2.09,0.82,0.11
31951,1.03,0.01,-0.01,29.38,2.24,0.62,0.11
32056,1.02,0.00,-0.02,29.47,2.31,0.91,-0.15
32160,1.03,0.00,-0.01,29.47,2.33,0.77,0.09
32265,1.03,0.01,-0.01,29.38,2.35,0.77,0.15
32369,1.01,0.00,-0.01,29.42,2.43,0.74,0.18
32474,1.03,0.00,-0.02,29.42,2.27,0.71,0.02
32578,1.03,0.01,-0.02,29.33,2.20,0.69,0.12
32684,1.02,0.01,-0.01,29.38,2.23,0.68,0.05
32788,1.02,0.01,-0.01,29.38,2.14,0.66,0.04
32892,1.00,-0.01,-0.01,29.47,2.44,0.63,0.08
32997,1.02,-0.00,-0.02,29.38,2.37,0.78,-0.07
33101,1.00,-0.00,-0.02,29.52,2.23,0.82,0.06
33206,1.02,0.00,-0.02,29.42,2.55,0.82,0.06
33310,1.04,0.00,-0.01,29.42,2.15,0.69,0.13
33415,1.04,0.01,-0.01,29.42,2.39,0.76,0.15
33519,1.02,0.01,-0.01,29.47,2.56,0.73,-0.03
33625,1.02,0.00,-0.01,29.47,2.27,1.16,0.20
33729,1.00,-0.01,-0.01,29.47,2.25,0.71,0.15
33833,1.03,0.01,-0.01,29.47,2.22,0.66,-0.08
33938,1.03,0.01,-0.01,29.52,2.28,0.79,0.02
34042,1.02,0.00,-0.01,29.47,2.08,0.72,0.06
34147,1.02,0.01,-0.02,29.42,2.21,0.82,0.27
34251,1.02,-0.00,-0.02,29.42,2.35,0.54,-0.08
34356,1.03,-0.00,-0.02,29.42,2.44,0.73,0.18
34460,1.03,0.01,-0.02,29.42,2.23,0.45,0.14
34565,1.01,0.01,-0.02,29.33,2.38,0.79,0.15
34670,1.02,0.01,-0.01,29.52,2.28,0.83,-0.14
34775,1.02,0.00,-0.02,29.42,2.15,0.90,0.09
34879,1.02,0.00,-0.01,29.33,2.33,0.82,0.18
34983,1.05,0.01,-0.02,29.42,2.26,0.65,0.06
35088,1.01,-0.00,-0.01,29.33,2.22,0.65,0.09
35192,1.03,0.00,-0.01,29.42,2.30,0.89,0.11
35297,1.01,-0.00,-0.02,29.42,2.14,0.66,-0.03
35401,1.02,0.01,-0.02,29.42,2.27,0.62,0.04
35506,1.03,0.01,-0.01,29.42,2.57,0.76,-0.07
35611,1.03,0.01,-0.01,29.33,2.26,0.63,0.21
35716,1.02,-0.00,-0.01,29.42,2.27,0.69,0.32
35820,1.04,0.02,-0.02,29.47,2.15,0.76,0.16
35924,1.04,0.01,-0.01,29.52,2.31,0.70,0.05
36029,1.04,0.01,-0.01,29.38,2.37,0.71,0.03
36133,1.03,0.01,-0.01,29.38,2.17,0.71,0.21
36238,1.04,0.01,-0.01,29.47,2.21,0.69,0.05
36342,1.01,-0.00,-0.01,29.38,2.50,0.79,0.10
36447,1.03,0.01,-0.01,29.47,2.21,0.79,0.23
36552,1.04,0.01,-0.01,29.47,2.41,0.64,0.02
36657,1.02,0.00,-0.02,29.28,2.38,0.79,0.21
36761,1.03,0.00,-0.02,29.38,2.21,0.63,0.20
36866,1.03,0.01,-0.01,29.38,2.19,0.58,-0.05
36970,1.04,0.00,-0.00,29.38,2.22,0.63,0.21
37074,1.04,0.01,-0.03,29.52,2.33,0.82,0.11
37179,1.01,-0.00,-0.01,29.47,2.33,0.77,0.23
37283,1.04,0.02,-0.01,29.47,2.23,0.72,0.11
37388,1.01,-0.00,-0.02,29.47,2.27,0.65,0.10
37492,1.05,0.01,-0.01,29.47,2.42,0.79,0.11
37598,1.04,0.01,-0.01,29.38,2.30,0.73,0.21
37702,1.01,0.00,-0.01,29.47,2.31,0.80,0.17
37807,1.03,0.01,-0.01,29.42,2.31,0.70,0.21
37911,1.02,0.00,-0.01,29.42,2.34,0.62,0.26
38016,1.03,0.00,-0.01,29.42,2.31,0.79,0.15
38120,1.04,0.01,-0.02,29.52,2.27,0.53,0.05
38224,1.03,0.00,-0.01,29.42,2.06,0.79,0.09
38329,1.02,0.01,-0.01,29.42,2.12,0.86,0.07
38433,1.02,0.01,-0.02,29.47,2.38,0.56,0.12
38539,1.03,0.01,-0.01,29.52,2.42,0.85,0.00
38643,1.02,0.01,-0.01,29.47,2.14,0.77,0.08
38748,1.01,0.01,-0.01,29.38,2.37,0.63,0.36
38852,1.01,0.00,-0.02,29.38,2.09,0.87,0.00
38957,1.04,0.01,-0.01,29.42,2.31,0.92,0.05
39061,1.03,0.01,-0.01,29.42,2.48,0.88,0.08
39165,1.03,0.00,-0.01,29.42,2.30,0.88,0.08
39270,1.00,-0.00,-0.01,29.42,2.27,0.73,0.23
39374,1.03,0.01,-0.02,29.52,2.37,0.81,0.08
39479,1.02,0.01,-0.01,29.52,2.32,0.64,-0.17
39583,1.03,0.01,-0.01,29.47,2.40,0.57,0.27
39689,1.03,0.02,-0.01,29.47,2.34,0.66,0.07
39793,1.02,0.00,-0.02,29.47,1.99,0.76,0.09
39898,1.01,0.00,-0.01,29.47,2.44,0.72,-0.08
40002,1.02,0.00,-0.01,29.47,2.20,0.67,0.15
40107,1.03,0.01,-0.01,29.47,2.28,0.82,0.15
40211,1.02,-0.00,-0.02,29.38,2.47,0.75,0.18
40315,1.01,0.01,-0.02,29.42,2.32,0.78,0.29
40420,1.04,0.01,-0.01,29.42,2.32,0.61,0.27
