timestamp,Filtered_X,Filtered_Y,Filtered_Z
48243,-0.08232036552404555,-0.08497873845088617,-0.8941398789557422
48289,-0.08248829076607131,-0.0851511981341388,-0.8958483163453518
48338,-0.08265646293010423,-0.08532391166007765,-0.8975585266584141
48387,-0.08282488165332039,-0.08549687865739855,-0.8992705074673429
48434,-0.08299354378983402,-0.08567009468095924,-0.9009841031144095
48481,-0.0831624608520935,-0.08584356360136021,-0.9026993240615102
48529,-0.08333162490509417,-0.08601727182448846,-0.9044163124621333
48576,-0.08350102098391214,-0.08619120485122922,-0.9061350531248
48623,-0.08367063458943269,-0.08636534863377779,-0.9078555320017058
48670,-0.08384044439694113,-0.08653968251118811,-0.9095777291242682
48717,-0.08401042522376757,-0.08671418208464444,-0.9113014695470802
48764,-0.08418055406225664,-0.08688883094839409,-0.913026579020989
48811,-0.08435083223173793,-0.08706363628679933,-0.9147530595293474
48859,-0.08452128150277782,-0.08723862061030714,-0.9164810868909881
48907,-0.08469191115609792,-0.08741378700466151,-0.9182108192468923
48953,-0.08486271557698784,-0.0875891286056075,-0.9199420957256257
49001,-0.08503368932550476,-0.08776464014252988,-0.9216747583799663
49049,-0.08520481985412354,-0.08794030357950236,-0.9234089477161814
49096,-0.0853761211242599,-0.08811614114949326,-0.9251449894033337
49143,-0.08554762854621983,-0.08829219446387833,-0.9268829205177844
49191,-0.08571935030972488,-0.088468470028244,-0.9286225902210865
49239,-0.08589128704630057,-0.0886449757577352,-0.9303639991251081
49286,-0.08606344525356471,-0.08882171655655986,-0.9321070015675672
49335,-0.08623580193472118,-0.08899865553718336,-0.9338515780347415
49382,-0.08640833480878884,-0.08917577111215869,-0.935597706939184
49430,-0.08658103699370533,-0.08935306389714251,-0.9373453767697336
49476,-0.08675391054242819,-0.08953053729871767,-0.9390947442413591
49524,-0.08692695745060618,-0.0897081859669119,-0.9408458105953844
49571,-0.0871001650452165,-0.08988599031989541,-0.9425985600926302
49619,-0.08727352832461613,-0.09006394551170994,-0.9443529871947745
49667,-0.08744703515934377,-0.09024203250694167,-0.9461090815344768
49713,-0.08762068844357346,-0.09042026875576334,-0.9478668514510958
49762,-0.08779448646626235,-0.09059865988389426,-0.9496261440480498
49808,-0.0879684056466319,-0.09077716839846352,-0.9513869316356457
49854,-0.08814244222003281,-0.09095579793550605,-0.9531493618052137
49903,-0.0883165852225342,-0.09113453787236227,-0.9549134260106206
49949,-0.08849080947106351,-0.0913133565263233,-0.9566790991604536
49996,-0.08866509056641489,-0.09149223025765077,-0.9584463576149743
50042,-0.08883941214575988,-0.09167114321283754,-0.9602151848283119
50091,-0.08901377882792878,-0.09185009986694484,-0.9619854305357722
50138,-0.08918818781107285,-0.0920290975053363,-0.9637570927150827
50185,-0.08936262322468116,-0.0922081207514981,-0.9655303086529584
50231,-0.08953708424605983,-0.09238716880834412,-0.9673050775523133
50279,-0.08971157007152965,-0.09256624818071407,-0.969081399326691
50327,-0.0898860726455174,-0.09274535834068834,-0.9708592661712618
50375,-0.09006059144669651,-0.09292449149966453,-0.9726386761963557
50422,-0.09023512596996758,-0.09310364577031997,-0.9744194762493664
50470,-0.0904096875381515,-0.0932828380291323,-0.9762015281515345
50519,-0.09058429892026056,-0.0934620844574243,-0.9779848560797849
50566,-0.09075899237302923,-0.09364141773799978,-0.9797696473547814
50614,-0.09093380517049977,-0.0938208799246781,-0.9815559423203964
50662,-0.09110875141785019,-0.09400047734737407,-0.9833435950473153
50710,-0.09128381236784941,-0.09418018590240057,-0.9851327357649153
50756,-0.09145898445017915,-0.09436000213057162,-0.9869235164595077
50804,-0.09163429340557976,-0.09453995827467929,-0.9887159627623439
50852,-0.09180974229669071,-0.09472006458553611,-0.9905100762564136
50900,-0.09198531948426807,-0.09490030248291297,-0.9923058422041384
50947,-0.09216102097486245,-0.09508066809107045,-0.994103256044165
50995,-0.09233685750588103,-0.09526117911647212,-0.9959023316403066
51043,-0.09251284536626021,-0.09544184994987277,-0.9977029328168279
51092,-0.09268897844785862,-0.09562266008647771,-0.999505051579658
51137,-0.09286525222382162,-0.09580359925458887,-1.001308835500499
51185,-0.09304166093681304,-0.09598467781447086,-1.0031144316518328
51232,-0.09321819901529677,-0.09616589765151427,-1.0049218353277531
51279,-0.09339488436213601,-0.09634728210251887,-1.0067309153739556
51328,-0.09357174163280624,-0.09652884777201283,-1.0085416970627907
51376,-0.0937487741835041,-0.0967105891513901,-1.0103540268454305
51423,-0.09392595887395223,-0.09689248382065445,-1.0121677296787608
51469,-0.09410329377645758,-0.09707453132964274,-1.0139829584210045
51517,-0.09428078294299903,-0.097256735604209,-1.015799714881378
51564,-0.09445843304109776,-0.09743910447516987,-1.0176181581315105
51611,-0.094636262288666,-0.09762165559337356,-1.0194383058222503
51659,-0.09481427827183435,-0.0978043949182119,-1.0212600106158944
51707,-0.09499248976491409,-0.09798734555743409,-1.02308343644513
51756,-0.09517090979779612,-0.09817051875794922,-1.0249084454005617
51803,-0.09534955097501967,-0.09835391940890793,-1.0267350476183348
51851,-0.09552839910321492,-0.0985375278526345,-1.028563381264901
51898,-0.09570744775385573,-0.0987213378804755,-1.0303934421878889
51945,-0.09588669801497776,-0.09890535054659966,-1.0322252293649405
51992,-0.09606613633419622,-0.09908954541718679,-1.0340585735282795
52038,-0.09624576414138067,-0.09927393116110231,-1.035893476755475
52086,-0.0964255769429289,-0.09945850342461515,-1.0377299353985379
52131,-0.09660555581810386,-0.0996432438759289,-1.0395679311256714
52178,-0.09678568243510913,-0.09982813475385603,-1.041407446175688
52226,-0.0969659390393502,-0.10001315157294148,-1.043248462654429
52272,-0.09714629970128615,-0.10019826190746935,-1.0450911108709466
52318,-0.09732674657538774,-0.10038344846738338,-1.0469352201662143
52366,-0.09750727109918766,-0.10056871026001461,-1.0487806268127944
52412,-0.0976878590977756,-0.1007540335516713,-1.050627317782737
52458,-0.09786850271642437,-0.10093941800902823,-1.052475438129036
